,,,,,,
,SIMULADOR DE RENTABILIDAD CRECE,,,,,
,INVERSIÓN EN PROYECTO INMOBILIARIO EN PLANOS,,,,,
,ESTRATEGIA: VENTA DE UN INMUEBLE ADQUIRIDO CON FINANCIAMIENTO,,,,,
,,,,,,
,"OBJETIVO: Ayudar al inversionista a simular y analizar la rentabilidad de un proyecto inmobiliario, evaluando el aporte de capital, el uso de crédito hipotecario y la venta del inmueble como estrategia de salida después de la escrituración.",,,,,
,,,,,,
,,,,,,
,DATOS DE COMPRA DEL INMUEBLE,,,,,
,,,,,,
,Precio de Compra, $  300.000.000 ,,Meses Otorgados para Pagar la Cuota Inicial,30,
,,,,,,
,Area del Inmueble (M²),48,,Pago Mensual de la Cuota Inicial, $  2.933.333 ,
,,,,,,
,Valor del Metro Cuadrado                                 , $  6.250.000 ,,Dinero para Reservar el Inmueble, $  2.000.000 , En la Celda F17 se ingreso una validación para que el valor no pueda ser mayor a la cuota inicial
,,,,,,
 En la Celda C17 se ingreso una validación para que no se pueda colocar un porcentaje mayor al 100%.,Porcentaje de la Cuota Inicial,30%,,Saldo Final al Momento de la Entrega                                   (Préstamo), $  210.000.000 ,
,,,,,,
,Valor de la Cuota Inicial , $  90.000.000 ,,Costo de Acabados Finales, $  20.000.000 ,
,,,,,,
,,,,,,
,,,,,,
,FINANCIACIÓN (Crédito Hipotecario),,,,,
,,,,,,
Validación no superior al saldo final al momento de entrega,Recursos Propios, $  80.000.000 ,,Tasa Efectiva Mensual,"1,07%",
,,,,,,
,Préstamo a Solicitar, $  130.000.000 ,,Cuota Mensual del Crédito (Sin Seguros), $  1.506.347 ,
,,,,,,
,Plazo del Crédito en Años,20,,Porcentaje de Costos de Escrituración ,"2,5%","Colocar en la celda F25 un valor por defecto del 2,5%, PERO que se pueda editar"
,,,,,,
Que la tasa se pueda colocar decimales,Tasa Efectiva Anual,"13,60%",,Costos de Escrituración por Compra , $  7.500.000 ,
,,,,,,
,,,,,,
,,,,,,
,COSTOS MENSUALES DE TENENCIA,,,,,
,,,,,,
,Administración Mensual , $  200.000 ,,Otros Costos del Mes, $  100.000 ,
,,,,,,
,Servicios Públicos Mensual, $  80.000 ,,Costo Total de Tenencia Mensual, $  380.000 ,
,,,,,,
,,,,,,
,SALIDA POR VENTA ,,,,,
 ,,,,,,
,Precio de Venta Esperado del Inmueble, $  420.000.000 ,,Costo de Tenencia Acumulado, $  11.318.079 ,
,,,,,,
,Mes Estimado de Venta,6,,Porcentaje de Costos de Escrituración ,"2,5%","Colocar en la celda F44 un valor por defecto del 2,5%, PERO que se pueda editar"
,,,,,,
,Valorización Frente al Precio de Compra,"40,00%",,Costos de Escrituración por Venta     , $  10.500.000 ,"31,25%"
,,,,,,
,Saldo del Crédito al Momento de la Venta, $  129.275.367 ,,Otros Costos Venta, $  6.000.000 ,
,,,,,,
,,,,,,
,RESULTADOS DE LA INVERSIÓN,,,,,
,,,,,,
,TIEMPO DE LA INVERSIÓN (Meses),36,,,,
,,,,,,
,CAPITAL TOTAL INVERTIDO, $  208.818.079 ,,Rentabilidad sobre el Capital Invertido (ROI),"31,32%",
,,,,,,
,GANANCIA, $  65.406.554 ,,Tasa Interna de Retorno Mensual (TIR),"2,15%",
,,,,,,
,CAPITAL DE REINVERSIÓN                     , $  274.224.633 ,,Tasa Interna de Retorno Anual (TIR),"29,08%",
,,,,,,
,,,,,,
,Agregrar Recursos Propios y poner una validación en la celda para que no pueda colocar un valor superior al Saldo Final al Momento de la Entrega,,,,,
,"Como se agrego Recursos Propios se debe ajustar la formula de la cuota del credito y el saldo final del credito, cambiar la celda F19 por C27",,,,,
,Se agrega Costo de Acabados Finales,,,,,
,Dejar la Tasa efectiva anual se pueda colocar decimales,,,,,
,Agregue por si la persona tenia Capital propio para aportar a la cuota final,,,,,
,Ajuste la formula de Capital total invertido y Capital de reinversión,,,,,
,De la tabla de TIR quitar la columna de Escrituración por venta (la columna G),,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"En la Tabla para calcular la TIR se agrega en la columna D, se le suman los Aportes por Recursos Propios y Costo de Acabados Finales",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,⚠ EXCLUSIÓN DE RESPONSABILIDAD:,,,,,
,"Este análisis es una herramienta de apoyo financiero elaborada con fines informativos y educativos, y no debe interpretarse como una recomendación final de inversión. No reemplaza el análisis legal ni la validación de las condiciones del crédito hipotecario. Los resultados obtenidos dependen de los supuestos ingresados en el simulador y pueden variar según las condiciones reales del proyecto, del crédito hipotecario, del mercado inmobiliario y del momento de la venta.",,,,,
